permno,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
12527,,,,,,,,,,,,,,,,,,,-0.075555511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12559,,,,,,,0.0453367755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1182265654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12573,,,,,-0.038461503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,,,0.2536585331,,,,,,,2.1914894581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12579,,,0.1287128627,,,,,,,,-0.026614178,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.438356191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12588,,,,,,,,,,,,,,,,[-0.03228478 -0.03228478],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,,,,,,,,-0.070055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12640,,,,,,,,,,0.0057803411,,,,,,,,,,,,,,,,,,,-0.018867908,-0.086538441,,,,,,,,,,,,,-0.012658291,,,,,[0.14285716 0.14285716],,,,,,,,,,,-0.161538407,,,,,,,,,,,,,,,,,,,,,,,,,
12660,,,,,,,,,,,,,0.1788617373,,-0.093896784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12667,,,,,,,,0.0854701102,,0.3174602985,,-0.008264455,,,,,,,,,,,,,,,-0.039215695,,,-0.139784992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080962785,,,,,,,,,,,,,,,,,1.3328338861,
12792,,,,,,,,,,,,-0.161172181,,,0.088888891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,,,,,,0.2296651304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12877,,,,,,,,,0.1578947902,,,,,,,,,,-0.01196576,,,,-0.392307639,,,-0.076246329,,,,,,,,,,0.0140186772,,,,,-0.018587343,,,,,,,,,,,,,-0.004999995,,,,,-0.035443064,,0.0621621683,,0.108108148,,,,,,,,,,,,,,,,,,,,,
12915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0381951928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12916,,,,0.1108686551,,,,,,,,,,,,0.0209894851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13019,,,,,,,,,,,,,,,,,,,,,,,0.2179245055,[-0.05485892 -0.05485892],,,,,,,,-0.343466461,,,,,,,,,,,,,,,,,0.0235783737,0.0230352394,,-0.116719276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13041,,,,,0.0005583601,-0.002790136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1543908864,,,,,,,,-0.014440534,[0.01587303 0.01587303 0.01587303],,,,-0.018110201,,,,,,,,,,,,,,,,,,
13109,,,,,,,,,,0.1470587999,,0.0148148006,,,,,,,,,[-0.13333338 -0.13333338],,,0.0860214904,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1118881777
13113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.498196721,,0.1096301451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5229819417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13124,,,0.0556760989,,,,,,0.0410628207,,,,,,,,,,,,,-0.358629167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13159,,,,,,,,,,,,,,,,,,,,,,,0.4638828933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.203348994,,,,,,,,,,,,,
13196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102453113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8387095928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13260,,,,,,,0.0806451663,,,,,,,,,,,,,-0.040935718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1283005178,,-0.263661772,,,,,,,,,,,,,,,,,,,,
13263,,,,,,,,,,,,,,,,-0.08108107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13279,-0.496190965,,,,,,,,,,,,,,,,,,-0.114130452,,,,,,,,,,,,-0.020618618,,,,,,[-0.44321877 -0.44321877],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150943249,,,,,,[-0.1197151 -0.1197151]
13280,,,,,,,,,,,,,,,,,0.0857142732,,,,,,,,,,,,,,,,,,,-0.141242936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13299,,,,0.0222081449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13302,,,,,0.0085728737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1536826044,,,,,,,,-0.113650411,,,,,,,,,,,,,,,,,,,,
13305,0.1276161224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211726576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329,,,,,,,,0.1521738321,-0.146226391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
